osm_element,osm_id,building,area_m2,lat,lon,shadow_mass,levels,height_source,osm_url
way,1089447330,apartments,11175.0,51.113261,71.503241,951.4,,manual,https://www.openstreetmap.org/way/1089447330
relation,21179459,apartments,9950.0,51.085892,71.385072,897.8,,manual,https://www.openstreetmap.org/relation/21179459
relation,19990253,public,45425.0,51.129407,71.441257,852.5,,manual,https://www.openstreetmap.org/relation/19990253
way,240909255,apartments,8824.0,51.140426,71.415064,845.4,,manual,https://www.openstreetmap.org/way/240909255
way,1087935151,apartments,8115.0,51.169911,71.401919,810.8,,manual,https://www.openstreetmap.org/way/1087935151
way,1089059340,apartments,7777.0,51.125724,71.47707,793.7,,manual,https://www.openstreetmap.org/way/1089059340
way,1089447321,apartments,7617.0,51.117706,71.479552,785.5,,manual,https://www.openstreetmap.org/way/1089447321
way,1533047989,apartments,6910.0,51.12414,71.371846,748.2,,manual,https://www.openstreetmap.org/way/1533047989
relation,14518384,apartments,6885.0,51.101253,71.429783,746.8,,manual,https://www.openstreetmap.org/relation/14518384
relation,8719060,apartments,6650.0,51.132986,71.460358,734.0,,manual,https://www.openstreetmap.org/relation/8719060
relation,14512412,apartments,6446.0,51.112906,71.430604,722.6,,manual,https://www.openstreetmap.org/relation/14512412
way,1077482135,apartments,6269.0,51.110493,71.437796,712.6,,manual,https://www.openstreetmap.org/way/1077482135
way,1424200254,apartments,6161.0,51.128517,71.373266,706.4,,manual,https://www.openstreetmap.org/way/1424200254
relation,10370283,apartments,6067.0,51.121886,71.416118,701.0,,manual,https://www.openstreetmap.org/relation/10370283
way,1052603403,residential,4013.0,51.108792,71.444969,696.8,,manual,https://www.openstreetmap.org/way/1052603403
way,1392843747,apartments,5856.0,51.111577,71.406102,688.7,,manual,https://www.openstreetmap.org/way/1392843747
relation,14509989,apartments,5756.0,51.123971,71.420717,682.8,,manual,https://www.openstreetmap.org/relation/14509989
relation,14522598,apartments,5711.0,51.124277,71.396089,680.2,,manual,https://www.openstreetmap.org/relation/14522598
relation,10370284,apartments,5240.0,51.116471,71.422462,651.5,,manual,https://www.openstreetmap.org/relation/10370284
